邻座的怪同学,3121万,9.6,5559,2012年10月1日,"['搞笑', '少女', '校园']",99.7万,122.1万,"已完结, 全13话",0,水谷雫：戸松遥\n吉田春：鈴木達央、村瀬歩\n夏目朝子：種﨑敦美\n佐佐原宗平：逢坂良太\n山口贤二：喜多村英梨、寺島拓篤\n大岛千鹤：花澤香菜\n吉田优山：沢城みゆき\n,脚本：赤尾でこ、平林佐和子、三重野瞳、高木登\n导演：鏑木ひろ\n絵コンテ：矢野雄一郎、イシグロキョウヘイ、鏑木ひろ、田頭しのぶ、梅本唯、長沼範裕、矢萩利幸、小島正幸、出合小郁美\n作画監督：鈴木美音織、飯山奈保子、吉田正幸、近藤奈都子、服部憲知、ふくだのりゆき、近藤奈津子、齋藤美香、田中織枝、青野厚司、岸友洋\n原作：ろびこ\n演出：中山敦史、出合小都美、イシグロキョウヘイ、中智仁、鏑木ひろ、青井小夜、鈴木孝聡、梅本唯、長沼範裕、出合小郁美\n分镜：イシグロキョウヘイ、鏑木ひろ、田頭しのぶ、小島正幸\n
鬼灯的冷彻 第二季,3157.6万,9.7,11420,2017年10月8日,"['搞笑', '日常', '神魔', '漫画改']",54.8万,214.8万,"已完结, 全13话",0,鬼灯：安元洋贵\n阎魔大王：长嶝高士\n桃太郎：平川大辅\n小白：小林由美子\n柿助：后藤广子\n琉璃男：松山鹰志\n唐瓜：柿原彻也\n茄子：青山桐子\n阿香：喜多村英梨\n蜜桃·真纪：上坂堇\n源义经\u002F 牛若丸：梶裕贵\n白泽：游佐浩二\n牛头：山田栄子\n马头：岛本须美,原作：江口夏実（讲谈社「モーニング」连载）\n导演，监督：米田和弘\n脚本：後藤みどり\n人物设定:お祭似郎\n剪辑:松原理恵\n音响监督:はたしょう二\n音效:高梨絵美\n音响制作:サウンドチーム・ドンファン\n音乐:TOMISIRO\n音乐制作:キングレコード\nアニメーション制作：スタジオディーン\n动画制作:Studio DEEN
重装武器,2714万,9.2,1879,2015年10月2日,"['热血', '机战', '科幻', '战斗']",67.2万,60.1万,"已完结, 全24话",0,库温瑟·柏波特吉：花江夏树\n贺维亚·温切尔：石川界人\n米琳达·白兰丁尼：铃木绘理\n芙萝蕾缇雅·卡彼斯特拉诺：伊藤静\n文美·樱花：横尾まり\n呵呵呵：金元寿子\n弗莱德议员：大林隆介\n莲蒂·法罗利特：佐..,原作：镰池和马\n总监督：渡部高志\n副监督：樱井亲良\n脚本：吉野弘幸、大河内一楼\n分镜：渡部高志、橘秀树、佐山圣子、二瓶勇一、樱井亲良、桥本敏一\n演出：高岛大辅、铃木洋平、佐佐木纯人、樱井亲良、桥本敏一\n系列构成：吉野弘幸\n角色设计：渡边敦子\n美术监督：黑田友范\n作画监督：糸岛雅彦、关口雅浩、安野将人、岩仓和宪\n音乐：井内舞子（I've sound）\n音响监督：明田川仁\n音响制作：Magic Capsule\n3DCG：三次元\n动画制作：J.C.STAFF
入间同学入魔了,2732.4万,9.7,13881,2019年10月5日,"['漫画改', '校园', '搞笑', '奇幻']",27.8万,128.6万,"连载中, 每周六 19:00更新",1,铃木入间：村濑步\n沙利文： 黒田崇矢\n欧佩拉：斋贺光希\n阿斯莫德・艾利斯： 木村良平\n瓦拉克・克拉拉： 朝井彩加\n萨柏诺克・萨布洛：佐藤拓也\n夏克斯・利特：山谷祥生\n安洛瑟・修奈德：土岐隼一\n克洛凯尔・凯洛莉：东山奈央\n安德鲁・Ｍ・贾兹：柿原彻也\n伊克斯・艾丽莎贝塔：本渡枫\n阿萨兹勒・艾梅莉：早见沙织\n,原作：西修\n监督：森胁真琴\n系列构成：笔安一幸\n角色设计：佐野聪彦\n音乐：本间昭光\n动画制作：BN Pictures\n制作：NHK ENTERPRISES
境界的彼方,2407.6万,9.4,10673,2013年10月2日,"['恋爱', '奇幻', '战斗']",114.3万,260.6万,"已完结, 全12话",0,栗山未来：种田梨沙\n神原秋人：KENN\n名濑美月：茅原实里\n名濑博臣：铃木达央\n新堂爱：山冈百合\n新堂彩华：进藤尚美\n二之宫雫：渡边明乃\n伊波樱：丰田萌绘\n伊波唯：矢作纱友里\n藤真弥勒：松风雅也\n..,原作：鸟居なごむ\n插画、角色原案：鸭居知世（KA Esuma文库\u002F京都动画）\n监督：石立太一\n系列构成：花田十辉\n角色设计、总作画监督：门脇未来\n美术监督：渡边美希子\n色彩设计：宫田佳奈\n小物品设定：高桥博行\n妖梦设定：秋竹齐一\n摄影监督：中上龙太\n编辑：重村建吾\n音响监督：鹤冈阳太\n音乐：七濑光\n企划制作人：八田英明\n制作人：濑波里梨、中村伸一、斋藤滋、田中豪\n动画制作：京都アニメーション（京都动画）
邪神与厨二病少女,2412.9万,9.4,10749,2018年7月9日,"['搞笑', '日常', '神魔']",35.6万,100.9万,"已完结, 全13话",1,邪神酱：铃木爱奈\n花园百合铃：大森日雅\n美杜莎：久保田未梦\n佩可拉：小坂井祐莉绘\n米诺斯：小见川千明\n波波隆：佐佐木李子\n珀耳塞福涅2世：饭田里穗\n橘芽依：原奈津子\n游佐：荒浪和沙\n浩二（冰酱）：寺田御子\n贝特：M·A·O,原作：ユキヲ（COMIC Meteor连载）\n制作总指挥：夏目公一朗\n监督：佐藤光\n系列构成：笔安一幸\n剧本：笔安一幸、村上桃子\n角色设计、总作画监督：古贺诚\n色彩设计：野口幸惠\n音乐：栗原悠希、神马让\n音响监督：今泉雄一\n音响制作：S-TAR7\n动画制作：NOMAD\n制作：DANGAN\n制作：邪神与厨二病少女制作委员会
粗点心战争,2042.3万,9.1,2121,2016年1月7日,"['日常', '搞笑', '美食']",79.4万,117.2万,"已完结, 全12话",0,枝垂萤：竹达彩奈\n鹿田九：阿部敦\n鹿田荣：藤原启治\n远藤沙耶：沼仓爱美\n远藤豆：铃木达央,监督：高柳滋仁\n脚本：浦畑達彦、加茂靖子、横手美智子\n分镜：高柳滋仁、重本和佳子\n演出：高柳滋仁\n人物设定：神本兼利\n系列构成：高柳滋仁、加茂靖子\n作画监督：川島尚、山内則康、佐藤元昭、山本篤史\n道具设计：山本篤史\n音响监督：本山哲\n音乐制作：ポニーキャニオン\n动画制作：feel.
博多豚骨拉面团,2046.2万,9.7,23597,2018年1月12日,['小说改'],56.8万,123.5万,"已完结, 全12话",0,马场善治：小野大輔\n林宪明：梶裕貴\n齐藤：小林裕介\n榎田：小野賢章\nジロー：浪川大輔\nミサキ：悠木碧\n猿渡俊助：中村悠一,音乐制作：岩浪美和\n导演：安田賢司\n人物设定：井上英紀\n原作：木崎ちあき\n人物原案：一色箱\n系列构成：ヤスカワショウゴ\n动画制作：サテライト\n音乐：中川幸太郎
魔法少女☆伊莉雅 2WEI HERZ!,1814.2万,9.4,2203,2015年7月24日,"['萌系', '奇幻', '校园', '战斗']",48.8万,126.2万,"已完结, 全10话",0,伊莉雅斯菲尔·冯·爱因兹贝伦：门胁舞以\t\n美游·艾德费尔特：名冢佳织\t\n克洛伊·冯·爱因兹贝伦（小黑）：斋藤千和\t\n远坂凛：植田佳奈\t\n露维亚瑟琳塔·艾德费尔特：伊藤静\t\n红宝石之星：高野直子\t\n..,导演： 神保昌登\n脚本： 水瀬葉月、井上堅二\n分镜： 河村智之、高橋賢、川口敬一郎、湊未來、田村正文、神保昌登\n演出： 高橋賢、河村智之、田村正文\n音乐： 加藤達也\n人物设定： 牛島希\n系列构成： 井上堅二\n美术监督： 立石健\n色彩设计： 平井麻実\n总作画监督： 山吉一幸、平田和也\n作画监督： 遠藤大輔、平田和也、田村正文、澤入祐樹、出野喜則、山吉一幸、佐藤香織\n摄影监督： 中西康祐\n原画： 高橋賢\n剪辑： 坪根健太郎\n主题歌演出： 幸田夢波、fhána\n企画： 堀内大示\n音响监督： 土屋雅紀\n音效： 出雲範子\n执行制片人： 工藤大丈\n制片人： 金子逸人\n音乐制作： ランティス\n动画制作： SILVER LINK.\n总导演： 大沼心\n别名： 魔法少女☆伊莉雅 2WEI HERZ!（第三季）
此花亭奇谭,1822.3万,9.8,21104,2017年10月5日,"['萌系', '漫画改', '日常', '治愈']",53.8万,145.4万,"已完结, 全12话",0,柚：大野柚布子\n皐：秦佐和子\n枣：诹访彩花\n莲：久保田梨沙\n樱：加隈亚衣\n桐：沼仓爱美,原作：天乃咲哉（月刊Birz·幻冬舍Comics刊）\n监督：冈本英树\n系列构成：吉冈孝夫\n角色设计：黑泽桂子\n音乐：菊地创\n动画制作：Lerche\n制作：此花亭奇谭制作委员会
